Name,Breed,lifestyle,color,age_years,height_cm,city,Country,sex,HouseType,toy,food,,
Panda,mixed,indoor,black and white,8,24,London,UK,Female,flat,feather,salmon,,
Tinker Bell,Siamese,indoor,black,0.3,8,London,UK,Male,flat,ball,tuna,,
Tiffany,Mainecoon,indoor,black and white,0.3,9,London,UK,Female,flat,ball,chicken,,
Kitta,Tabby,indoor,grey,10,25,San Jose,USA,Male,town house,mouse,tuna,,
Patch,Norwegain Forest Cat,indoor,white and tabby,17,30,San Jose,USA,Male,town house,feather,tuna,,
Spacey,Bengal,indoor,tabby,12,23,Tulsa,USA,Female,house,feather,salmon,,
Luna,Bengal,indoor,tabby,12,22,Tulsa,USA,Female,house,ball,chicken,,
Muggles,mixed,indoor,black,3,22,San Jose,USA,Male,town house,mouse,chicken,,
BK,mixed,outdoor,tabby,5,20,San Jose,USA,Female,town house,mouse,tuna,,
Bella,Mainecoon,indoor,grey,2,25,Peterborough,UK,Female,Bungalow,ball,salmon,,
Mr. Tibbs,British shorthair,indoor,black,10,20,Peterborough,UK,Male,Bungalow,feather,chicken,,
Amish,Mainecoon,indoor,ginger,2,27,Peterborough,UK,Male,Bungalow,mouse,tuna,,
Honey,mixed,outdoor,grey,15,22,San Jose,USA,Female,town house,mouse,tuna,,
